page_number,line_up_name,first_name,last_name,party_code,answers
536,Østjyllands Storkreds,Søren,Vanting,M,2 2 4 2 4 4 2 2 4 4 4 4 4 2 4 2 2 4 4 4 4 2 2 5 4
537,Østjyllands Storkreds,Sara Pernille,Jespersen,M,2 1 1 2 4 4 1 1 4 2 2 5 4 4 5 2 1 1 4 4 4 5 1 5 1
538,Østjyllands Storkreds,Sten,Larsen,M,2 1 2 4 5 4 1 2 4 2 2 5 4 5 4 5 2 4 4 5 4 5 2 5 4
539,Københavns Storkreds,Lisbeth,Bech-Nielsen,F,5 1 5 2 4 2 5 1 2 4 5 5 5 1 4 1 4 4 1 2 4 4 1 1 2
540,Københavns Storkreds,Carl,Valentin,F,5 1 5 1 4 1 5 1 2 5 2 5 5 1 5 1 5 1 2 2 2 5 1 1 4
541,Københavns Storkreds,Nanna,Bonde,F,4 1 5 1 2 1 5 1 2 5 4 5 5 1 4 1 4 2 2 2 4 4 1 1 4
542,Københavns Storkreds,Sadek,Al-Amood,F,5 2 5 2 4 1 4 2 2 4 4 5 5 1 4 2 5 2 2 2 2 4 1 1 4
543,Københavns Storkreds,Halime,Oguz,F,4 1 4 2 4 1 4 2 2 4 4 5 5 2 4 2 4 5 2 1 4 4 1 1 1
544,Københavns Storkreds,Kasper Nordborg,Kiær,F,4 1 5 4 4 2 4 1 4 4 4 5 5 2 4 1 4 4 2 2 2 4 1 2 4
545,Københavns Storkreds,Rune,Palm,F,4 1 2 1 4 2 5 1 4 5 5 5 5 1 5 2 4 2 2 4 2 4 1 1 5
546,UNKNOWN,,,,
547,Københavns Storkreds,Cecilie Louise Balbay,Holdt,F,5 1 4 2 4 1 5 1 1 5 5 5 5 1 5 1 4 4 2 2 4 2 1 1 2
548,Københavns Storkreds,Mikkel Sammy,Christensen,F,4 2 4 1 4 1 5 1 1 5 4 5 4 1 5 1 4 2 1 2 2 4 1 1 4
549,UNKNOWN,Morten,Bering,F,
550,Københavns Storkreds,Bjarke Bisgaard,Yolal,F,5 1 5 2 4 1 5 1 4 4 5 5 1 5 1 5 4 2 1 4 5 1 1
551,Københavns Omegns Storkreds,Sigurd,Agersnap,F,5 1 5 2 4 1 5 1 2 5 4 5 5 1 4 1 5 2 2 2 4 5 1 2 2
552,Københavns Omegns Storkreds,Alexander Bruhn,Skjøth,F,4 1 5 2 4 1 4 1 1 5 5 5 4 2 4 2 4 2 2 4 5 1 1 2
553,Københavns Omegns Storkreds,Helene,Brochmann,F,5 1 5 2 2 1 5 1 1 5 2 5 5 1 5 1 4 2 2 2 4 1 1
554,UNKNOWN,,,,
555,Københavns Omegns Storkreds,Sofie F.,Villadsen,F,4 1 4 2 4 1 4 1 2 5 4 5 5 1 4 2 4 2 2 2 4 4 1 1 2
556,Københavns Omegns Storkreds,Niels,Haxthausen,F,5 1 5 1 5 2 5 1 1 5 2 5 5 1 4 1 4 1 2 4 2 2 1 1 4
557,Københavns Omegns Storkreds,Troels Stru,Schmidt,F,4 2 4 1 4 2 4 2 4 4 4 5 2 4 2 4 4 2 4 4 2 4
558,Københavns Omegns Storkreds,Vivi Nør,Jacobsen,F,4 2 5 2 5 1 4 1 2 4 4 5 5 2 5 2 4 2 2 2 4 4 2 2 2
559,UNKNOWN,,,,
560,Nordsjællands Storkreds,Marianne,Bigum,F,4 1 5 2 4 2 4 2 2 4 4 5 4 2 4 2 4 4 4 2 4 2 2 1 2
561,Nordsjællands Storkreds,Anja,Rosengreen,F,4 2 4 2 4 2 4 2 2 4 4 4 4 2 4 2 4 4 4 2 4 4 2 2 4
562,Nordsjællands Storkreds,Emil,Nielsen,F,4 1 5 2 4 2 5 1 4 4 4 5 5 2 4 1 5 2 2 4 2 4 1 1 5
563,Nordsjællands Storkreds,Anna,Poulsen,F,4 2 4 1 5 1 5 1 2 5 4 5 5 4 5 1 2 2 2 4 4 4 1 2 5
564,Nordsjællands Storkreds,Stina Egedius,Miller,F,4 2 5 1 2 1 5 1 4 4 5 5 4 2 4 1 2 2 4 4 1 4 1 2 2
565,Nordsjællands Storkreds,Elias Julius,Binggeli,F,5 1 5 1 4 1 5 1 2 5 5 5 5 1 5 1 4 1 2 4 2 4 1 1 4
566,Nordsjællands Storkreds,Jens,Skov,F,4 1 5 1 5 1 5 1 2 5 4 5 5 1 5 1 4 2 2 4 2 4 1 1 2
567,Bornholms Storkreds,Sebastian Bloch,Jensen,F,5 2 4 2 5 2 4 2 4 4 4 5 4 2 4 1 2 2 4 4 4 4 2 4 4
568,Bornholms Storkreds,Sofie,Christiansen,F,4 1 4 2 5 1 5 1 1 5 4 5 5 1 4 1 2 1 2 2 1 4 1 1 4
569,Sjællands Storkreds,Astrid,Carøe,F,5 1 5 2 5 1 5 1 2 4 5 5 5 1 4 1 4 4 2 2 2 4 1 1 4
570,Sjællands Storkreds,Anne Valentina,Berthelsen,F,5 1 5 2 5 1 4 1 2 4 4 5 4 1 4 2 4 4 2 1 4 4 1 1 2
571,Sjællands Storkreds,Mads,Olsen,F,5 1 5 2 4 1 5 2 2 4 5 5 5 2 4 2 4 4 2 2 4 4 2 1 2
572,Sjællands Storkreds,Kristine Amalie,Rostgård,F,4 2 4 2 4 2 4 2 2 5 4 5 4 2 4 2 4 4 2 2 4 4 2 1 2
573,Sjællands Storkreds,Claus,Jørgensen,F,5 1 5 2 5 1 5 1 1 5 4 5 5 2 5 1 4 4 2 4 2 5 1 2 4
574,Sjællands Storkreds,Michael,Graakjær,F,5 1 5 1 5 1 4 1 1 5 4 5 5 1 5 2 4 2 4 2 2 4 1 1 4
575,Sjællands Storkreds,Joan,Kragh,F,4 1 5 1 5 1 5 1 1 5 4 5 4 1 4 2 4 2 2 4 2 4 1 1 2
576,Sjællands Storkreds,Jeanne,Bergmansen,F,5 2 5 1 5 2 5 2 1 5 4 5 5 1 5 2 4 4 4 2 1 5 1 2 4
577,Sjællands Storkreds,Jesper,Hartøft,F,4 1 5 1 5 1 5 1 1 5 5 5 4 1 4 2 4 4 2 2 4 5 1 1 2
578,Fyns Storkreds,Lise,Müller,F,4 1 5 2 4 1 4 2 2 4 4 5 5 1 4 2 4 4 4 2 4 4 1 1 2
579,Fyns Storkreds,Karsten,Hønge,F,4 2 5 2 4 5 1 4 4 5 4 4 1 4 4 1 4 2 2
580,Fyns Storkreds,Suzette,Frovin,F,5 2 4 2 5 2 5 1 1 5 2 5 5 1 5 1 4 2 2 2 1 2 1 2 2
581,UNKNOWN,,,,
582,Fyns Storkreds,Simon Meyer,Off,F,4 1 5 2 4 1 5 1 2 4 5 5 5 1 5 2 5 4 2 2 2 4 1 1 2
583,Fyns Storkreds,Nynne,Printz,F,5 1 5 2 5 2 4 1 2 4 5 5 5 1 4 1 4 4 2 2 4 4 1 1 2
584,UNKNOWN,,,,
585,Sydjyllands Storkreds,Karina Lorentzen,Dehnhardt,F,4 1 5 2 4 2 4 1 2 5 4 5 4 1 4 2 4 4 4 1 4 4 1 1 2
586,Sydjyllands Storkreds,Sofus,Teislev,F,4 2 5 4 4 1 5 1 2 4 4 5 5 1 5 1 4 2 2 2 4 1 2 4
587,Sydjyllands Storkreds,Jørgen,Kvist,F,5 1 4 2 4 2 4 1 2 5 2 5 5 1 4 1 2 4 2 2 4 4 1 1 2
588,Sydjyllands Storkreds,Timm,Bøttger,F,5 1 5 2 4 1 4 1 1 4 5 5 5 1 4 2 4 4 4 2 4 4 2 1 2
589,Sydjyllands Storkreds,Christian Mutwa,Christensen,F,5 1 5 2 5 1 5 1 2 4 4 5 5 1 4 2 4 4 2 4 4 4 1 1 2
590,Sydjyllands Storkreds,Magnus,Flensborg,F,5 1 5 1 4 1 5 1 2 5 5 5 5 1 4 2 4 2 2 4 1 1 4
591,Sydjyllands Storkreds,Milo,Gaarde,F,4 2 5 1 4 1 5 1 2 5 4 5 5 1 4 2 4 2 2 2 2 4 1 1 4
592,Sydjyllands Storkreds,Ina Juul,Jensen,F,4 2 4 1 5 2 4 2 4 4 4 5 4 2 2 2 4 2 2 5 4 4 2 1 5
593,UNKNOWN,,,,
594,UNKNOWN,Susanne Blegvad,Posselt,F,
595,Østjyllands Storkreds,Kirsten Normann,Andersen,F,4 1 5 2 4 2 4 1 2 4 4 5 4 1 5 2 4 4 2 2 4 4 2 1 2
596,Østjyllands Storkreds,Sofie,Lippert,F,5 1 5 1 4 1 5 1 2 5 4 5 5 1 5 1 4 1 2 2 2 4 1 1 4
597,Østjyllands Storkreds,Charlotte Broman,Mølbæk,F,4 2 5 2 5 2 4 1 2 5 5 5 5 2 4 2 4 4 2 2 2 4 1 1 4
598,Østjyllands Storkreds,Anna,Brændemose,F,5 1 5 2 4 1 5 1 2 5 4 5 5 1 4 1 4 2 2 2 2 4 1 1 2
599,Østjyllands Storkreds,Charlotte,Vindeløv,F,4 1 5 2 4 2 5 1 2 4 4 5 5 1 5 2 4 4 2 2 4 4 1 1 2
600,Østjyllands Storkreds,Søren Lahn,Sloth,F,5 1 5 2 4 1 5 2 5 4 5 5 1 5 1 4 4 2 2 2 2 1 1 4
601,Østjyllands Storkreds,Morten Siig,Henriksen,F,5 1 5 2 5 2 5 1 1 4 2 5 5 1 5 1 4 1 4 2 2 4 1 1 4
602,Østjyllands Storkreds,Paw Hedegaard,Amdisen,F,4 1 4 2 4 2 5 1 2 4 5 4 1 4 1 2 4 2 4 4 1 2 2
603,UNKNOWN,,,,
604,Vestjyllands Storkreds,Signe,Munk,F,4 1 5 2 5 2 5 1 2 4 4 5 5 1 4 2 4 4 2 2 4 4 1 1 2
605,Vestjyllands Storkreds,Nils,Brøgger,F,5 1 5 2 4 2 5 1 1 4 4 5 5 2 5 1 4 4 4 2 2 5 1 1 2
606,Vestjyllands Storkreds,Emma Thorup,Jacobsen,F,4 1 5 1 5 2 5 2 2 4 4 5 5 2 2 1 4 2 2 2 2 4 1 1 1
607,Vestjyllands Storkreds,Bente,Refslund,F,4 1 5 2 5 1 5 1 2 5 1 5 5 1 5 1 2 4 4 4 5 4 1 1 2
608,Vestjyllands Storkreds,Anders,Bøge,F,5 2 5 2 4 2 4 2 2 4 2 5 4 1 4 2 4 4 4 4 2 5 2 1 2
609,Vestjyllands Storkreds,Niels Kristian,Larsen,F,5 1 5 1 4 1 4 1 2 4 5 5 5 1 4 2 4 4 4 2 4 4 1 1 4
610,Nordjyllands Storkreds,Theresa Berg,Andersen,F,4 2 5 5 5 1 4 2 2 5 5 5 4 1 5 2 4 4 5 2 2 5 2 1 1
611,Nordjyllands Storkreds,Melina,Andersen,F,4 2 5 2 5 1 5 1 2 4 5 5 5 1 4 2 4 4 4 1 4 4 1 1 1
612,Nordjyllands Storkreds,Dorte M.,Nielsen,F,4 2 4 2 5 2 2 1 1 4 5 5 1 4 2 2 5 2 4 4 4 1 1 1
613,Nordjyllands Storkreds,Benjamin,Christensen,F,5 2 5 1 4 1 5 2 2 4 4 5 5 2 4 2 2 1 4 2 2 4 1 2 4
614,Nordjyllands Storkreds,Morten Bo,Bertelsen,F,5 1 5 1 5 1 5 1 2 5 5 5 5 1 4 2 5 4 4 2 2 4 1 1 2
615,Nordjyllands Storkreds,Peder,Larsen,F,4 2 4 2 5 1 4 1 1 5 4 5 4 2 4 2 4 4 2 4 2 5 1 1 2
616,UNKNOWN,Henning,Jørgensen,F,5 2 5 1 5 1 5 1 1 5 2 5 5 1 4 1 5 1 1 4 1 4 1 1 2
617,UNKNOWN,Thomas,Kjeldsen,F,
618,Nordjyllands Storkreds,Anders,Vistisen,O,2 5 5 5 5 1 2 5 5 2 4 4 2 2 2 5 4 5 5 1 5 5 4 1 1
619,Nordjyllands Storkreds,Danny,Rosenkilde,O,1 4 5 5 5 1 2 4 5 4 5 4 2 2 4 5 2 4 5 1 4 5 4 1 2
620,Nordjyllands Storkreds,Thomas,Hjort,O,1 4 5 5 5 1 2 4 5 2 4 5 2 4 4 5 2 5 4 1 4 5 5 1 1
621,UNKNOWN,Jørgen,Hammer Sørensen,O,
622,Nordjyllands Storkreds,Emma Houe,Mølgaard,O,1 4 5 5 2 1 2 5 5 4 4 4 2 4 2 5 4 5 5 1 5 5 5 1 2
623,Vestjyllands Storkreds,Søren Boel,Olesen,O,4 4 5 5 4 1 2 4 5 4 4 4 4 4 2 5 4 5 5 1 5 5 5 1 1
624,UNKNOWN,Knud,Nielsen,O,
625,Vestjyllands Storkreds,Lone,Langballe,O,1 4 5 5 4 1 2 5 5 4 5 2 4 4 1 5 2 5 5 1 4 5 5 1 1
626,Vestjyllands Storkreds,Michelle,Sundahl,O,1 5 5 5 4 1 2 5 5 2 4 2 2 2 4 5 2 5 4 1 4 5 4 1 1
627,Vestjyllands Storkreds,Mikael,Würtz,O,1 2 5 5 5 1 2 5 5 2 5 4 1 1 5 5 1 5 5 1 2 5 5 1 1
628,Østjyllands Storkreds,Nick,Zimmermann,O,1 5 5 5 5 1 4 5 5 4 5 5 2 2 1 5 2 5 5 1 5 5 4 1 2
629,Østjyllands Storkreds,Michael,Nedersøe,O,2 4 5 5 4 1 2 5 4 2 4 4 1 4 2 5 1 5 5 1 5 5 4 1 2
630,UNKNOWN,Mercedes,Czank,O,
631,Østjyllands Storkreds,Jens Kannegaard,Lundager,O,4 4 5 5 5 1 1 5 5 1 5 4 1 2 4 5 2 5 5 1 5 5 5 1 1
632,Østjyllands Storkreds,Nana,Harring,O,2 4 5 5 4 2 2 5 4 2 5 5 2 4 2 5 4 5 4 1 4 5 5 1 1
633,Sydjyllands Storkreds,Peter,Kofod,O,2 4 5 5 5 1 2 5 5 2 5 4 2 4 2 5 2 5 5 1 5 5 5 2 2
634,Sydjyllands Storkreds,Rune,Bønnelykke,O,1 5 5 5 4 1 2 5 5 4 5 2 2 4 1 5 2 5 5 1 5 5 5 1 1
635,Sydjyllands Storkreds,Mads-Magnus,Damm,O,2 4 5 5 4 1 2 5 4 2 4 4 2 4 2 5 2 5 4 1 5 5 5 1 2
636,Sydjyllands Storkreds,Kim Andkjær,Doberck,O,1 5 5 5 2 1 2 5 5 2 5 5 2 2 4 5 4 5 5 1 5 5 5 1 1
637,Sydjyllands Storkreds,Jim,Zakaria,O,1 2 5 5 4 1 1 5 5 4 5 4 4 1 4 5 1 5 5 1 5 5 5 1 1
638,Sydjyllands Storkreds,Sune Nørgaard,Jakobsen,O,1 5 5 5 5 1 2 5 5 2 5 4 1 1 1 5 2 4 5 1 5 5 5 1 1
639,UNKNOWN,,,,
640,Sydjyllands Storkreds,Rune,Højer,O,1 5 5 5 5 1 2 5 5 2 5 2 1 4 1 5 4 5 5 1 5 5 5 1 1
641,Sydjyllands Storkreds,Per,Knudsen,O,2 4 5 5 4 1 2 5 5 4 4 4 4 4 2 5 4 5 5 1 5 5 5 1 2
642,Sydjyllands Storkreds,Josephine Alstrup,Kofod,O,1 4 5 5 4 1 2 5 4 2 5 4 2 4 2 5 2 5 5 1 4 5 5 1 1
643,Sydjyllands Storkreds,Tobias Brus,Mikkelsen,O,1 4 5 5 4 1 4 5 5 4 5 5 4 4 1 5 2 5 5 1 5 5 5 1 1
644,Sydjyllands Storkreds,Christian,Kirk,O,2 4 5 5 2 1 1 5 5 2 4 5 2 4 2 5 2 5 5 1 5 5 5 1 2
645,UNKNOWN,,,,
646,Fyns Storkreds,Alex,Ahrendtsen,O,1 4 5 5 4 1 1 5 5 1 2 5 1 2 4 5 1 5 5 1 5 5 5 1 1
647,Fyns Storkreds,Tobias,Weische,O,1 5 5 5 4 1 1 5 4 2 5 2 1 4 1 5 2 5 5 1 5 5 5 1 1
648,Fyns Storkreds,Romeo,Troelsgaard,O,1 5 5 5 2 1 2 5 5 4 5 5 2 4 2 5 4 5 5 1 4 5 5 1 1
649,Fyns Storkreds,Anne,Møllegaard Mortensen,O,1 4 5 5 4 1 2 5 4 4 2 4 4 4 2 5 2 5 5 1 4 5 4 1 2
650,Fyns Storkreds,Niels,Bolding,O,2 4 5 5 4 1 4 5 5 4 4 5 4 4 5 5 2 5 5 1 5 5 5 1 2
651,Sjællands Storkreds,Morten,Messerschmidt,O,2 4 5 5 2 1 2 5 4 2 5 4 2 4 2 5 4 5 5 1 5 5 4 1 2
652,Sjællands Storkreds,Anders,Bork,O,1 4 5 5 4 1 2 5 4 2 5 4 2 2 2 5 2 5 5 1 4 5 4 1 1
653,Sjællands Storkreds,Henrik,Brodersen,O,1 4 5 5 4 1 2 5 5 4 4 4 2 4 4 5 4 5 5 1 4 5 4 1 2
654,Sjællands Storkreds,Tanja,Glückstadt,O,1 5 5 5 5 1 2 5 5 4 4 2 4 2 1 5 4 5 5 1 5 5 5 1 1
655,Sjællands Storkreds,Søren Lund,Hansen,O,5 4 5 5 5 1 2 5 4 4 4 4 2 4 2 5 2 5 5 1 4 5 5 1 1
656,Sjællands Storkreds,Julie,Jacobsen,O,2 4 5 5 4 1 2 4 5 4 2 4 2 2 2 5 4 5 5 1 2 5 5 1 2
657,Sjællands Storkreds,Simon,Hampe,O,1 4 5 5 4 1 2 5 5 4 4 4 4 1 5 4 5 5 1 5 5 4 1 1
658,Sjællands Storkreds,Jan,Herskov,O,2 4 5 5 4 1 2 5 5 4 5 4 4 4 4 5 2 5 5 1 5 5 5 1 1
659,Sjællands Storkreds,Malte,Larsen,O,2 4 5 5 4 1 2 4 4 4 4 4 2 4 2 5 2 5 4 1 4 5 4 1 2
660,Sjællands Storkreds,Michael,Pihl,O,1 2 5 5 4 1 1 5 5 2 4 4 4 5 1 4 1 5 4 1 5 5 5 1 1
661,Nordsjællands Storkreds,Mette,Thiesen,O,1 4 5 5 1 1 2 5 5 2 4 4 2 4 2 5 2 5 5 1 4 5 5 1 2
662,Nordsjællands Storkreds,Pia,Adelsteen,O,1 5 5 5 4 1 1 4 5 2 4 2 2 4 1 5 1 5 5 1 1 5 4 1 1
663,Nordsjællands Storkreds,Mikkel,Hartwich,O,1 4 5 5 1 1 2 4 5 4 4 4 2 2 4 5 2 5 4 1 4 5 4 1 1
664,Nordsjællands Storkreds,Jette,Juul,O,4 4 5 5 2 1 2 5 5 2 2 4 2 4 4 5 2 5 5 1 5 5 5 1 1
665,Nordsjællands Storkreds,Brian Lyck,Jørgensen,O,2 5 5 5 2 1 4 4 5 4 4 4 2 2 2 5 2 4 5 1 4 5 5 1 1
666,Nordsjællands Storkreds,Ulla,Kokfelt,O,1 4 5 5 2 1 2 5 5 2 2 5 2 4 2 5 4 5 5 1 4 5 5 1 1
667,Nordsjællands Storkreds,Gert,Løfgren,O,1 5 5 5 2 1 2 5 5 2 1 4 2 4 4 5 2 5 5 1 5 5 4 1 1
668,UNKNOWN,,,,
669,Københavns Omegns Storkreds,Mikkel,Bjørn,O,2 4 5 5 4 1 2 5 4 2 4 4 2 4 2 5 2 5 4 1 4 5 4 1 1
670,Københavns Omegns Storkreds,Hans,Blaaberg,O,1 4 5 5 4 1 2 5 5 2 5 5 2 4 2 5 2 5 5 1 5 5 5 1 1
671,Københavns Omegns Storkreds,Mikkel,Dencker,O,1 4 5 5 4 1 1 5 5 2 5 5 2 2 2 5 1 5 5 1 5 5 5 1 1
672,Københavns Omegns Storkreds,Kim,Hammer,O,1 5 5 5 1 1 2 5 5 4 5 1 1 4 1 5 4 5 5 1 5 5 5 1 1
673,Københavns Omegns Storkreds,Tenna,Røberg,O,1 4 5 5 4 1 2 5 5 4 4 4 2 4 2 5 2 5 5 1 4 5 5 1 1
674,Københavns Omegns Storkreds,Zandra Thulstrup,Pihl,O,1 4 5 5 1 1 1 5 5 2 4 5 1 4 4 5 2 5 1 5 5 5 1 1
675,Københavns Omegns Storkreds,Michael,Jensen,O,1 4 5 5 2 1 2 5 4 4 5 5 2 2 1 5 2 5 5 1 5 5 5 1 1
676,Københavns Storkreds,Merete Dea,Larsen,O,2 4 5 5 4 1 2 5 5 1 4 5 4 2 2 5 2 5 5 1 4 5 4 1 1
677,Københavns Storkreds,Allan,Feldt,O,1 4 5 5 2 1 2 5 2 4 2 4 1 5 5 1 5 5 1
678,UNKNOWN,,,,
679,UNKNOWN,,,,
680,UNKNOWN,Paw,Karslund,O,1 5 5 5 2 1 2 5 4 2 2 5 4 2 1 5 2 4 4 1 2 5 4 1 1
681,UNKNOWN,,,,
682,Københavns Storkreds,Denise,Rostgaard,O,2 4 5 5 4 1 2 5 4 2 5 5 2 2 4 5 2 5 4 1 5 5 5 1 1
683,Bornholms Storkreds,Bo Vibe Ancher,Jensen,O,1 4 5 5 5 1 2 4 4 4 2 4 2 4 2 5 2 2 4 1 4 5 4 1 1
684,Nordjyllands Storkreds,Inger,Støjberg,Æ,1 2 5 5 5 2 1 5 4 1 5 2 2 4 2 5 2 5 5 1 5 5 5 1 1
685,Nordjyllands Storkreds,Kristian,Bøgsted,Æ,2 2 5 5 5 2 1 5 4 1 5 2 2 2 1 5 1 5 5 1 5 5 5 1 2
686,UNKNOWN,Kim Edberg,Andersen,Æ,1 2 5 5 5 2 1 5 4 1 4 2 2 4 2 5 1 5 5 1 5 5 5 1 1
687,Nordjyllands Storkreds,Liselotte,Lynge,Æ,1 2 5 5 5 2 1 5 4 1 4 2 2 4 2 5 1 5 5 1 5 5 4 1 1
688,Nordjyllands Storkreds,Frederik,Storm,Æ,1 4 5 5 4 1 1 5 5 2 5 5 2 4 1 4 4 5 5 2 5 5 5 1 4
689,Nordjyllands Storkreds,Claus,Skovmose,Æ,1 4 5 4 4 4 1 5 5 1 4 2 4 4 2 4 1 4 5 1 5 5 5 1 1
690,Vestjyllands Storkreds,Dennis,Flydtkjær,Æ,1 2 5 5 5 2 1 5 5 1 4 2 2 4 1 4 1 5 5 2 4 5 5 1 2
691,Vestjyllands Storkreds,Betina,Kastbjerg,Æ,1 2 5 5 5 2 1 5 4 1 4 2 2 4 2 5 1 5 5 1 5 4 5 1 1
692,Vestjyllands Storkreds,Mads,Fuglede,Æ,1 1 5 4 5 2 1 5 4 2 4 2 2 4 2 5 1 5 5 2 4 5 4 1 2
693,Vestjyllands Storkreds,Morten Vehl,Revsbeck,Æ,1 2 5 5 4 2 1 5 5 1 5 2 2 5 2 5 1 5 5 1 5 4 5 1 2
694,Vestjyllands Storkreds,Marcus Juul,Grønbæk,Æ,1 1 5 4 4 2 1 5 5 2 4 2 2 4 2 5 1 5 5 2 4 4 5 1 1
695,Vestjyllands Storkreds,Vivi,Altenburg,Æ,1 2 5 4 4 2 2 5 5 1 5 4 2 5 4 4 2 5 5 2 4 4 4 1 2
696,Østjyllands Storkreds,Hans Kristian,Skibby,Æ,1 2 5 4 5 2 1 5 5 1 4 2 1 4 1 5 2 5 5 2 4 5 5 1 2
697,Østjyllands Storkreds,Erik,Poulsen,Æ,1 1 5 4 5 1 4 4 1 4 2 2 4 2 5 1 5 4 2 4 5 4 1 2
698,Østjyllands Storkreds,Lone,Glarbo,Æ,2 2 5 4 4 2 1 5 4 2 5 4 4 4 1 5 1 5 4 1 4 4 5 1 1
699,Østjyllands Storkreds,Magnus,Bigum,Æ,1 2 5 5 5 2 1 5 5 1 5 2 2 4 1 5 1 5 5 1 5 5 5 1 2
700,Sydjyllands Storkreds,Kenneth Fredslund,Petersen,Æ,1 2 5 5 5 2 1 5 4 1 4 2 2 4 2 5 2 5 5 1 5 4 5 1 1
701,Sydjyllands Storkreds,Ulrik,Knudsen,Æ,1 2 5 5 4 2 1 5 4 1 4 2 2 4 2 5 1 5 5 1 5 5 5 1 1
702,UNKNOWN,,,,
703,Sydjyllands Storkreds,Patrick,Bryhl,Æ,2 2 5 5 5 2 1 5 5 1 4 2 2 4 1 5 1 5 5 1 5 5 5 1 1
704,Sydjyllands Storkreds,Thomas Majgaard,Byrsing,Æ,1 5 5 5 2 1 5 4 1 5 2 2 4 2 5 1 5 5 1 5 5 5 1 1
705,Østjyllands Storkreds,Rune,Mikkelsen,Æ,1 2 5 5 5 2 2 5 4 1 4 4 2 4 2 5 1 5 5 1 5 5 5 1 2
706,Sydjyllands Storkreds,Jakob Venø,Heiwald,Æ,1 2 5 5 5 2 1 5 5 1 5 2 2 4 2 5 1 5 5 1 4 5 4 1 1
707,Fyns Storkreds,Jens Henrik W. Thulesen,Dahl,Æ,1 2 5 5 5 2 1 4 4 1 2 2 4 4 2 4 1 5 5 1 5 5 4 1 1
708,Fyns Storkreds,Nikolaj,Vang,Æ,1 1 5 5 5 2 1 5 4 2 4 4 2 2 5 5 2 5 5 2 5 4 5 1 2
709,Fyns Storkreds,Vivian Lindberg,Larsen,Æ,1 1 5 5 5 2 1 5 4 2 5 5 2 2 4 5 2 5 5 2 5 5 5 1 1
710,Sjællands Storkreds,Peter,Skaarup,Æ,1 2 5 5 5 2 1 5 4 1 4 2 2 4 2 5 1 5 5 1 5 5 5 1 1
711,Sjællands Storkreds,Susie,Jessen,Æ,1 1 5 5 5 4 1 5 4 2 5 1 2 4 1 5 1 5 5 2 5 5 5 1 2
712,Sjællands Storkreds,Christian,Wibholm,Æ,1 2 5 4 5 4 1 4 4 2 5 2 1 5 2 5 1 5 4 5 4 2 1 2
713,Sjællands Storkreds,Michael,Rosenmark,Æ,1 2 5 5 5 1 2 5 4 1 4 4 4 2 4 5 1 5 5 1 5 5 4 1 1
714,Sjællands Storkreds,Dina,Person,Æ,2 4 5 5 4 2 1 5 5 1 5 2 2 2 2 5 1 5 4 1 4 5 5 1 2
715,UNKNOWN,Brian,Mørch,Æ,1 2 5 5 5 1 1 5 5 4 5 2 4 4 2 5 2 5 5 1 5 5 5 1 1
716,Sjællands Storkreds,John Brill,Engkebølle,Æ,1 2 5 5 5 2 1 5 4 1 4 2 2 4 2 5 1 5 5 1 5 5 5 1 1
717,Sjællands Storkreds,Martin Rahn,Johansen,Æ,2 2 5 5 4 2 2 5 4 1 4 2 2 4 2 5 1 4 5 1 4 4 4 2 2
718,Nordsjællands Storkreds,Marlene,Harpsøe,Æ,1 2 5 4 2 2 1 5 2 2 4 4 4 2 2 5 1 5 5 1 5 5 4 1 1
719,Nordsjællands Storkreds,Lars,Bregnbak,Æ,2 2 5 5 4 2 2 5 4 2 5 4 2 2 2 5 2 4 5 2 4 4 4 1 1
720,UNKNOWN,Maibritt,Nielsen,Æ,1 2 5 5 5 2 1 5 4 1 5 2 2 4 2 5 1 5 1 5 5 1 1
721,Nordsjællands Storkreds,Katrine,Schiller,Æ,1 2 5 5 4 2 1 5 4 1 4 2 2 2 2 5 1 5 5 1 4 5 5 1 1
722,Københavns Omegns Storkreds,Charlotte,Munch,Æ,2 2 5 5 4 2 1 5 4 1 5 2 2 4 2 5 1 5 4 1 5 5 5 1 1
723,Københavns Omegns Storkreds,Sebastian,Mylsted,Æ,1 2 5 5 4 2 1 5 5 1 4 4 2 4 1 5 1 5 5 1 5 5 5 1 1
724,Københavns Omegns Storkreds,Susanne,Damsgaard,Æ,1 2 5 5 5 2 1 5 4 1 2 2 4 4 5 1 5 5 1 5 5 5 1 1
725,Københavns Storkreds,Benny,Bindslev,Æ,1 2 5 5 4 1 1 5 4 1 5 4 2 4 1 5 1 5 5 1 5 4 5 1 1
726,Københavns Storkreds,Eva,Bechmann,Æ,1 2 5 5 4 1 1 5 4 2 4 2 2 4 4 5 1 5 4 1 5 5 5 1 1
727,Københavns Storkreds,Martin,Sibast,Æ,1 1 5 5 4 4 1 5 5 2 5 4 2 4 2 4 1 4 5 2 5 2 5 1 2
728,Bornholms Storkreds,Michael,Hendriksen,Æ,1 2 5 5 5 1 1 4 4 1 5 2 2 4 5 5 2 5 5 1 5 5 5 1 1
729,Sydjyllands Storkreds,Anders,Kronborg,A,2 2 4 2 5 1 5 2 2 4 4 4 2 2 2 1 4 2 2 4 4 1 2 2
730,Vestjyllands Storkreds,Anders,Andreasen,A,4 1 2 4 4 1 4 1 2 4 5 4 2 4 2 2 2 4 4 4 1 5 2
