page_number,line_up_name,first_name,last_name,party_code,answers
394,Københavns Omegns Storkreds,Thomas,Anker,Å,5 1 5 1 4 1 1 5 5 5 5 5 1 1 5 1 4 1 4 5
395,UNKNOWN,Franciska,Rosenkilde,Å,4 2 5 1 4 2 4 1 2 5 4 5 5 1 5 1 5 1 2 4 1 5 2 2 4
396,Københavns Storkreds,Roger Courage,Matthisen,Å,4 4 4 1 5 1 5 1 1 5 5 5 5 1 5 1 5 1 1 4 1 5 2 1 4
397,Københavns Storkreds,Jiesper Tristan,Pedersen,Å,4 2 4 1 4 2 4 1 1 5 4 5 5 1 4 1 5 2 2 4 2 4 1 2 4
398,Københavns Storkreds,Jan,Kristoffersen,Å,4 1 4 1 4 2 2 1 4 4 4 5 5 2 2 1 4 1 2 2 2 2 2 2 2
399,Københavns Storkreds,Mikkel,Bahl,Å,5 1 5 1 4 1 5 1 1 5 4 5 5 1 5 1 5 2 1 5 2 1 1 1 5
400,Københavns Storkreds,Mette,Bram,Å,4 4 5 1 2 2 4 1 4 5 4 5 5 2 5 2 5 4 1 4 2 4 2 4 2
401,UNKNOWN,,,,
402,UNKNOWN,,,,
403,Københavns Storkreds,Peter Martin,Jakobsen,Å,5 2 4 1 4 1 4 1 1 5 2 5 5 1 5 1 5 1 2 4 2 4 1 2 4
404,Københavns Storkreds,Anders,Sørensen,Å,5 1 5 1 5 1 5 1 4 5 5 5 1 5 1 5 2 1 4 1 5 1 2 5
405,UNKNOWN,,,,
406,Københavns Storkreds,Catharina Næsby,Malkki,Å,4 4 5 1 4 2 4 2 2 5 5 5 5 1 5 1 4 4 2 4 2 5 2 4 1
407,Københavns Storkreds,Nikolai Eskild,Jensen,Å,4 1 4 1 4 5 1 4 5 5 5 5 1 2 1 5 2 4 1 4 1 1 4
408,Københavns Storkreds,Vibeke,Frost,Å,4 1 2 1 4 1 5 1 1 5 1 5 5 1 5 1 5 1 4 5 1 5 2 1 2
409,Nordsjællands Storkreds,Helene,Brydensholt,Å,4 2 4 1 4 2 4 1 1 5 4 5 5 1 4 1 5 1 2 4 1 5 2 1 4
410,Københavns Storkreds,Qasam Nazir,Ahmad,Å,4 1 5 1 5 1 4 1 1 5 2 5 5 1 5 1 5 1 1 5 2 5 1 1 2
411,Nordsjællands Storkreds,Tine Loft,Thomsen,Å,4 1 4 1 4 1 5 1 4 5 2 4 5 1 5 1 5 1 1 2 2 5 2 2
